"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x375717382","x1222664824959619076",2020-01-29 23:36:24,"emktgkitchen","Google Confirms: Changing Nofollow Was About Link Signal  https://t.co/5VUGwRFDmS  via @martinibuster:

#SEO #SearchEngineOptimization #DigitalMarketing #Google #HeyGoogle @Google https://t.co/MldTCei0qn","Twitter for Android",,,,,FALSE,TRUE,0,0,0,0,"SEO",,"searchenginejournal.com/why-google-tur…","https://t.co/5VUGwRFDmS","https://www.searchenginejournal.com/why-google-turned-nofollow-to-hint/325713/?utm_source=twitter.com&utm_medium=social&utm_campaign=twitter-auto-publish-night",,,,,,,,,"x14113411 x15617720","sejournal martinibuster","en",,,,,,,,,,,,,,,,"x1222430723589771264","Google Confirms: Changing Nofollow Was About Link Signal  https://t.co/5VUGwRFDmS  via @martinibuster:

#SEO #SearchEngineOptimization #DigitalMarketing #Google #HeyGoogle @Google https://t.co/MldTCei0qn",2020-01-29 08:06:10,"Buffer",15,14,"x14113411","sejournal","SearchEngineJournal®",225132,974,68093,"United States","Follow us for the latest #SEO, #PPC, #socialmedia, & #content news, expert tips, insights, and ideas. Get our newsletter: https://bit.ly/2troYx7",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/emktgkitchen/status/1222664824959619076","saurabhjain","Pune","A digital marketing professional who loves cooking delicious online marketing strategies that makes your business healthier & stronger.",,FALSE,539,392,7,1420,274,2011-09-18 16:28:23,FALSE,,,,"https://pbs.twimg.com/profile_banners/375717382/1547374103","http://abs.twimg.com/images/themes/theme16/bg.gif","http://pbs.twimg.com/profile_images/1084352216390123520/VRgQ3PbC_normal.jpg"
"x375717382","x1222292167214927873",2020-01-28 22:55:36,"emktgkitchen","Google Makes it Possible to Temporarily Remove Sites From Search Results via @MattGSouthern: https://t.co/rMguR2Nb8G 

#SEO #SearchEngineOptimization #DigitalMarketing #Google #HeyGoogle @Google https://t.co/Iop5QYjsVi","Twitter for Android",,,,,FALSE,TRUE,0,0,0,0,"SEO",,"searchenginejournal.com/google-makes-i…","https://t.co/rMguR2Nb8G","https://www.searchenginejournal.com/google-makes-it-possible-to-temporarily-remove-sites-from-search-results/345688/?utm_source=twitter.com&utm_medium=social&utm_campaign=twitter-auto-publish",,,,,,,,,"x14113411 x716103722556911616","sejournal mattgsouthern","en",,,,,,,,,,,,,,,,"x1222216400808423424","Google Makes it Possible to Temporarily Remove Sites From Search Results via @MattGSouthern: https://t.co/rMguR2Nb8G 

#SEO #SearchEngineOptimization #DigitalMarketing #Google #HeyGoogle @Google https://t.co/Iop5QYjsVi",2020-01-28 17:54:32,"Buffer",25,21,"x14113411","sejournal","SearchEngineJournal®",225132,974,68093,"United States","Follow us for the latest #SEO, #PPC, #socialmedia, & #content news, expert tips, insights, and ideas. Get our newsletter: https://bit.ly/2troYx7",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/emktgkitchen/status/1222292167214927873","saurabhjain","Pune","A digital marketing professional who loves cooking delicious online marketing strategies that makes your business healthier & stronger.",,FALSE,539,392,7,1420,274,2011-09-18 16:28:23,FALSE,,,,"https://pbs.twimg.com/profile_banners/375717382/1547374103","http://abs.twimg.com/images/themes/theme16/bg.gif","http://pbs.twimg.com/profile_images/1084352216390123520/VRgQ3PbC_normal.jpg"
"x735941125786112000","x1222653200219533313",2020-01-29 22:50:13,"zawa__digital","All Google Ads Campaigns to Utilize Standard Delivery As of May 2020 via @MattGSouthern: https://t.co/AnxXXWxvku 

#PPC #PaidSearch #SEM #DigitalMarketing #Google #HeyGoogle @Google https://t.co/krb3iQ3eFq","Twitter for Android",,,,,FALSE,TRUE,0,0,0,0,"PPC",,"searchenginejournal.com/all-google-ads…","https://t.co/AnxXXWxvku","https://www.searchenginejournal.com/all-google-ads-campaigns-to-utilize-standard-delivery-as-of-may-2020/345966/?utm_source=twitter.com&utm_medium=social&utm_campaign=twitter-auto-publish",,,,,,,,,"x14113411 x716103722556911616","sejournal mattgsouthern","en",,,,,,,,,,,,,,,,"x1222608064102240256","All Google Ads Campaigns to Utilize Standard Delivery As of May 2020 via @MattGSouthern: https://t.co/AnxXXWxvku 

#PPC #PaidSearch #SEM #DigitalMarketing #Google #HeyGoogle @Google https://t.co/krb3iQ3eFq",2020-01-29 19:50:52,"Buffer",9,9,"x14113411","sejournal","SearchEngineJournal®",225132,974,68093,"United States","Follow us for the latest #SEO, #PPC, #socialmedia, & #content news, expert tips, insights, and ideas. Get our newsletter: https://bit.ly/2troYx7",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/zawa__digital/status/1222653200219533313","<U+4E2D><U+6FA4>/Zawa/SoldOut,Inc","<U+4EAC><U+90FD><U+2192><U+6771><U+4EAC>","<U+6771><U+8A3C><U+4E00><U+90E8>/<U+30BD><U+30A6><U+30EB><U+30C9><U+30A2><U+30A6><U+30C8><U+682A><U+5F0F><U+4F1A><U+793E>/<U+90E8><U+9577><U+88DC><U+4F50>|
<U+7D4C><U+6B74>:<U+30C7><U+30B8><U+30BF><U+30EB><U+30DE><U+30FC><U+30B1><U+652F><U+63F4>(5<U+5E74>)<U+2190><U+4E2D><U+56FD><U+8D8A><U+5883>EC(1<U+5E74>)|
<U+8208><U+5473>:<U+30DE><U+30FC><U+30B1>/<U+5E83><U+544A>/SNS/SEO<U+3092><U+8EF8><U+306B><U+3001><U+7D44><U+7E54>/PR/<U+4F01><U+696D><U+5206><U+6790>/startup/AI/<U+6A5F><U+68B0><U+5B66><U+7FD2><U+306A><U+3069><U+3001><U+96D1><U+591A>|183cm
#<U+767A><U+8A00><U+306F><U+500B><U+4EBA><U+306E><U+898B><U+89E3>","https://note.com/zawa_nariyuki",FALSE,222,827,7,4263,941,2016-05-26 21:10:12,FALSE,,,,"https://pbs.twimg.com/profile_banners/735941125786112000/1586170252","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1324729355738599424/AoVmeRSB_normal.jpg"
"x515669849","x1222619101966655488",2020-01-29 20:34:43,"Hatch_Ad","All Google Ads Campaigns to Utilize Standard Delivery As of May 2020 via @MattGSouthern: https://t.co/AnxXXWxvku 

#PPC #PaidSearch #SEM #DigitalMarketing #Google #HeyGoogle @Google https://t.co/krb3iQ3eFq","Twitter Web App",,,,,FALSE,TRUE,0,0,0,0,"PPC",,"searchenginejournal.com/all-google-ads…","https://t.co/AnxXXWxvku","https://www.searchenginejournal.com/all-google-ads-campaigns-to-utilize-standard-delivery-as-of-may-2020/345966/?utm_source=twitter.com&utm_medium=social&utm_campaign=twitter-auto-publish",,,,,,,,,"x14113411 x716103722556911616","sejournal mattgsouthern","en",,,,,,,,,,,,,,,,"x1222608064102240256","All Google Ads Campaigns to Utilize Standard Delivery As of May 2020 via @MattGSouthern: https://t.co/AnxXXWxvku 

#PPC #PaidSearch #SEM #DigitalMarketing #Google #HeyGoogle @Google https://t.co/krb3iQ3eFq",2020-01-29 19:50:52,"Buffer",9,9,"x14113411","sejournal","SearchEngineJournal®",225132,974,68093,"United States","Follow us for the latest #SEO, #PPC, #socialmedia, & #content news, expert tips, insights, and ideas. Get our newsletter: https://bit.ly/2troYx7",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Hatch_Ad/status/1222619101966655488","Hatch Advertising","Spokane Valley, WA","Advertising Agency","http://www.hatchadvertising.com",FALSE,91,111,1,251,271,2012-03-05 17:20:02,FALSE,,,,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1294034085979893760/sNm-aA7q_normal.png"
"x1148679754289164288","x1222515870854975495",2020-01-29 13:44:31,"SzetelaDavid","How to Get Google Ads Certification: A Step-by-Step Guide  https://t.co/8pYZXgfzl0  via @coreydmorris:

#PPC #PaidSearch #SEM #Career #CareerAdvice #DigitalMarketing #Google #HeyGoogle @Google https://t.co/TJuaaLG7os","TweetDeck",,,,,FALSE,TRUE,0,0,0,0,"PPC PaidSearch",,"searchenginejournal.com/google-ads-cer…","https://t.co/8pYZXgfzl0","https://www.searchenginejournal.com/google-ads-certification-guide/283259/?utm_source=twitter.com&utm_medium=social&utm_campaign=twitter-auto-publish-night",,,,,,,,,"x14113411 x17870050","sejournal coreydmorris","en",,,,,,,,,,,,,,,,"x1222438277262823424","How to Get Google Ads Certification: A Step-by-Step Guide  https://t.co/8pYZXgfzl0  via @coreydmorris:

#PPC #PaidSearch #SEM #Career #CareerAdvice #DigitalMarketing #Google #HeyGoogle @Google https://t.co/TJuaaLG7os",2020-01-29 08:36:11,"Buffer",11,7,"x14113411","sejournal","SearchEngineJournal®",225132,974,68093,"United States","Follow us for the latest #SEO, #PPC, #socialmedia, & #content news, expert tips, insights, and ideas. Get our newsletter: https://bit.ly/2troYx7",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/SzetelaDavid/status/1222515870854975495","David Szetela","Fort Myers Beach, FL","This is my new Twitter account - my previous one, @Szetela, was hijacked.","http://szetela.me",FALSE,508,873,11,2826,57,2019-07-09 19:46:09,FALSE,,,,,"","http://pbs.twimg.com/profile_images/1149597570139770880/e53L3R9X_normal.png"
"x1148679754289164288","x1222515709034496000",2020-01-29 13:43:52,"SzetelaDavid","How to Get a Google Analytics Certification (&amp; Is It Really Worth It?)  https://t.co/jJC0i7DGKn  via @AdamHeitzman:

#contentmarketing #contentstrategy  #Career #CareerAdvice #DigitalMarketing #Google #HeyGoogle @Google #GoogleAnalytics #HeyGoogle @GoogleAnalytics @Google https://t.co/hnXJwDQsYk","TweetDeck",,,,,FALSE,TRUE,0,0,0,0,,,"searchenginejournal.com/google-analyti…","https://t.co/jJC0i7DGKn","https://www.searchenginejournal.com/google-analytics-certification/283621/?utm_source=twitter.com&utm_medium=social&utm_campaign=twitter-auto-publish-night",,,,,,,,,"x14113411 x819915401786261508","sejournal AdamHeitzman","en",,,,,,,,,,,,,,,,"x1222453377461882880","How to Get a Google Analytics Certification (&amp; Is It Really Worth It?)  https://t.co/jJC0i7DGKn  via @AdamHeitzman:

#contentmarketing #contentstrategy  #Career #CareerAdvice #DigitalMarketing #Google #HeyGoogle @Google #GoogleAnalytics #HeyGoogle @GoogleAnalytics @Google https://t.co/hnXJwDQsYk",2020-01-29 09:36:11,"Buffer",10,7,"x14113411","sejournal","SearchEngineJournal®",225132,974,68093,"United States","Follow us for the latest #SEO, #PPC, #socialmedia, & #content news, expert tips, insights, and ideas. Get our newsletter: https://bit.ly/2troYx7",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/SzetelaDavid/status/1222515709034496000","David Szetela","Fort Myers Beach, FL","This is my new Twitter account - my previous one, @Szetela, was hijacked.","http://szetela.me",FALSE,508,873,11,2826,57,2019-07-09 19:46:09,FALSE,,,,,"","http://pbs.twimg.com/profile_images/1149597570139770880/e53L3R9X_normal.png"
"x1148679754289164288","x1222618674567221248",2020-01-29 20:33:01,"SzetelaDavid","All Google Ads Campaigns to Utilize Standard Delivery As of May 2020 via @MattGSouthern: https://t.co/AnxXXWxvku 

#PPC #PaidSearch #SEM #DigitalMarketing #Google #HeyGoogle @Google https://t.co/krb3iQ3eFq","TweetDeck",,,,,FALSE,TRUE,0,0,0,0,"PPC",,"searchenginejournal.com/all-google-ads…","https://t.co/AnxXXWxvku","https://www.searchenginejournal.com/all-google-ads-campaigns-to-utilize-standard-delivery-as-of-may-2020/345966/?utm_source=twitter.com&utm_medium=social&utm_campaign=twitter-auto-publish",,,,,,,,,"x14113411 x716103722556911616","sejournal mattgsouthern","en",,,,,,,,,,,,,,,,"x1222608064102240256","All Google Ads Campaigns to Utilize Standard Delivery As of May 2020 via @MattGSouthern: https://t.co/AnxXXWxvku 

#PPC #PaidSearch #SEM #DigitalMarketing #Google #HeyGoogle @Google https://t.co/krb3iQ3eFq",2020-01-29 19:50:52,"Buffer",9,9,"x14113411","sejournal","SearchEngineJournal®",225132,974,68093,"United States","Follow us for the latest #SEO, #PPC, #socialmedia, & #content news, expert tips, insights, and ideas. Get our newsletter: https://bit.ly/2troYx7",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/SzetelaDavid/status/1222618674567221248","David Szetela","Fort Myers Beach, FL","This is my new Twitter account - my previous one, @Szetela, was hijacked.","http://szetela.me",FALSE,508,873,11,2826,57,2019-07-09 19:46:09,FALSE,,,,,"","http://pbs.twimg.com/profile_images/1149597570139770880/e53L3R9X_normal.png"
"x1113433819074502656","x1222613942851330048",2020-01-29 20:14:13,"BlogDestined","Google Recommends Hiring SEOs in New ‘Search for Beginners’ Video via @MattGSouthern: https://t.co/WEpdo0hn5n

#SEO #SearchEngineOptimization #DigitalMarketing #Google #HeyGoogle @Google https://t.co/NgvmwNbKBP","Twitter for Android",,,,,FALSE,TRUE,0,0,0,0,"SEO",,"searchenginejournal.com/google-recomme…","https://t.co/WEpdo0hn5n","https://www.searchenginejournal.com/google-recommends-hiring-seos-in-new-search-for-beginners-video/345524/?utm_source=twitter.com&utm_medium=social&utm_campaign=twitter-auto-publish-nextday",,,,,,,,,"x14113411 x716103722556911616","sejournal mattgsouthern","en",,,,,,,,,,,,,,,,"x1222257432807735298","Google Recommends Hiring SEOs in New ‘Search for Beginners’ Video via @MattGSouthern: https://t.co/WEpdo0hn5n

#SEO #SearchEngineOptimization #DigitalMarketing #Google #HeyGoogle @Google https://t.co/NgvmwNbKBP",2020-01-28 20:37:35,"Buffer",6,3,"x14113411","sejournal","SearchEngineJournal®",225132,974,68093,"United States","Follow us for the latest #SEO, #PPC, #socialmedia, & #content news, expert tips, insights, and ideas. Get our newsletter: https://bit.ly/2troYx7",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/BlogDestined/status/1222613942851330048","Destined boy","Nigeria","A content creator - Named top 10 influencers in #SEO and #Semrushchat @NodeXl Project. #blog",,FALSE,308,23,2,8220,15471,2019-04-03 13:31:23,FALSE,,,,"https://pbs.twimg.com/profile_banners/1113433819074502656/1611084191","","http://pbs.twimg.com/profile_images/1351611606485053442/8engYHWP_normal.jpg"
"x1113433819074502656","x1222613813385744384",2020-01-29 20:13:42,"BlogDestined","All Google Ads Campaigns to Utilize Standard Delivery As of May 2020 via @MattGSouthern: https://t.co/AnxXXWxvku 

#PPC #PaidSearch #SEM #DigitalMarketing #Google #HeyGoogle @Google https://t.co/krb3iQ3eFq","Twitter for Android",,,,,FALSE,TRUE,0,0,0,0,"PPC",,"searchenginejournal.com/all-google-ads…","https://t.co/AnxXXWxvku","https://www.searchenginejournal.com/all-google-ads-campaigns-to-utilize-standard-delivery-as-of-may-2020/345966/?utm_source=twitter.com&utm_medium=social&utm_campaign=twitter-auto-publish",,,,,,,,,"x14113411 x716103722556911616","sejournal mattgsouthern","en",,,,,,,,,,,,,,,,"x1222608064102240256","All Google Ads Campaigns to Utilize Standard Delivery As of May 2020 via @MattGSouthern: https://t.co/AnxXXWxvku 

#PPC #PaidSearch #SEM #DigitalMarketing #Google #HeyGoogle @Google https://t.co/krb3iQ3eFq",2020-01-29 19:50:52,"Buffer",9,9,"x14113411","sejournal","SearchEngineJournal®",225132,974,68093,"United States","Follow us for the latest #SEO, #PPC, #socialmedia, & #content news, expert tips, insights, and ideas. Get our newsletter: https://bit.ly/2troYx7",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/BlogDestined/status/1222613813385744384","Destined boy","Nigeria","A content creator - Named top 10 influencers in #SEO and #Semrushchat @NodeXl Project. #blog",,FALSE,308,23,2,8220,15471,2019-04-03 13:31:23,FALSE,,,,"https://pbs.twimg.com/profile_banners/1113433819074502656/1611084191","","http://pbs.twimg.com/profile_images/1351611606485053442/8engYHWP_normal.jpg"
"x1113433819074502656","x1222588777182498816",2020-01-29 18:34:13,"BlogDestined","How to Get a Google Analytics Certification (&amp; Is It Really Worth It?)  https://t.co/jJC0i7DGKn  via @AdamHeitzman:

#contentmarketing #contentstrategy  #Career #CareerAdvice #DigitalMarketing #Google #HeyGoogle @Google #GoogleAnalytics #HeyGoogle @GoogleAnalytics @Google https://t.co/hnXJwDQsYk","Twitter for Android",,,,,FALSE,TRUE,0,0,0,0,,,"searchenginejournal.com/google-analyti…","https://t.co/jJC0i7DGKn","https://www.searchenginejournal.com/google-analytics-certification/283621/?utm_source=twitter.com&utm_medium=social&utm_campaign=twitter-auto-publish-night",,,,,,,,,"x14113411 x819915401786261508","sejournal AdamHeitzman","en",,,,,,,,,,,,,,,,"x1222453377461882880","How to Get a Google Analytics Certification (&amp; Is It Really Worth It?)  https://t.co/jJC0i7DGKn  via @AdamHeitzman:

#contentmarketing #contentstrategy  #Career #CareerAdvice #DigitalMarketing #Google #HeyGoogle @Google #GoogleAnalytics #HeyGoogle @GoogleAnalytics @Google https://t.co/hnXJwDQsYk",2020-01-29 09:36:11,"Buffer",10,7,"x14113411","sejournal","SearchEngineJournal®",225132,974,68093,"United States","Follow us for the latest #SEO, #PPC, #socialmedia, & #content news, expert tips, insights, and ideas. Get our newsletter: https://bit.ly/2troYx7",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/BlogDestined/status/1222588777182498816","Destined boy","Nigeria","A content creator - Named top 10 influencers in #SEO and #Semrushchat @NodeXl Project. #blog",,FALSE,308,23,2,8220,15471,2019-04-03 13:31:23,FALSE,,,,"https://pbs.twimg.com/profile_banners/1113433819074502656/1611084191","","http://pbs.twimg.com/profile_images/1351611606485053442/8engYHWP_normal.jpg"
